SE,casos_est,casos,p_rt1,p_inc100k,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax
202331,115.0,115,0.22566517,15.852907,12.0268857142857,17.3558285714286,25.1542714285714,45.9584,76.6088857142857,95.0416714285714
202330,115.0,115,0.013411234,15.852907,13.3102714285714,18.1600571428571,24.7337714285714,47.3774857142857,73.8915285714286,89.9740428571429
202329,112.0,112,2.71817e-05,15.439353,12.9969285714286,16.6554857142857,21.9736857142857,61.1307428571429,81.1177428571429,93.4896857142857
202328,154.0,154,0.0031223292,21.22911,13.5416571428571,17.8538285714286,23.5826,45.3092285714286,72.5771857142857,89.4880714285714
202327,180.0,180,0.020786513,24.813246,13.4285714285714,14.3,15.2857142857143,76.7574581428571,82.2456014285714,86.55427
202326,216.0,216,0.12798756,29.775894,16.5714285714286,16.8285714285714,17.1428571428571,80.5231514285714,81.7664357142857,82.8459457142857
202325,227.0,227,0.0055455132,31.29226,13.2857142857143,13.9642857142857,14.7142857142857,83.13386,87.8096427142857,92.1827885714286
202324,212.0,212,1.34e-08,29.22449,13.1929,16.5284142857143,20.8030142857143,68.6615571428571,85.2781571428571,95.8876571428571
202323,283.0,283,8.3443e-06,39.011936,10.5038714285714,16.1365857142857,23.8123428571429,48.4480428571429,77.6708714285714,95.6905142857143
202322,347.0,347,0.0006885354,47.834423,16.6666666666667,16.9938271111111,17.2222222222222,88.3959834814815,90.0982165185185,91.8004488148148
202321,406.0,406,0.028413285,55.967655,15.2727272727273,19.3536093636364,22.3181818181818,60.8346204090909,76.3147334090909,92.3451670909091
202320,433.0,433,0.21429996,59.68964,13.6315789473684,14.7050224210526,15.7894736842105,80.4407170526316,85.7864683684211,90.6669391578947
202319,493.0,493,0.9687789,67.960724,18.8571428571429,19.432773,20.1428571428571,78.10014,83.7363722857143,88.28366
202318,472.0,472,0.84412956,65.06584,19.2592592592593,19.7407407407407,20.1481481481481,87.5332577777778,89.6123274074074,91.691397037037
202317,419.0,419,0.055908658,57.759724,15.5454545454545,20.6106659090909,25.1818181818182,55.1915011818182,77.2538606363636,95.0187490909091
202316,405.0,405,0.009388621,55.829803,16.1428571428571,21.3760505714286,26.1428571428571,48.197072,72.172364,94.7613185714286
202315,522.0,522,0.7853133,71.95841,18.2857142857143,21.8991595714286,25.7142857142857,63.0763254285714,79.3976657142857,95.6957291428571
202314,456.0,456,0.017925363,62.86022,18.5714285714286,21.529412,24.7142857142857,67.2665581428571,81.4689165714286,95.672432
202313,449.0,449,0.22652186,61.895264,21.1481481481481,22.8997821111111,24.962962962963,68.8679274074074,80.4791146296296,89.2530488888889
202312,623.0,623,1.0,85.8814,19.2857142857143,23.7478988571429,28,56.8466075714286,76.348573,95.7473548571429
202311,498.0,498,1.0,68.64998,21,21.1538461538462,21.3076923076923,87.9284876923077,89.1585669230769,90.3886461538462
202310,330.0,330,0.99954706,45.49095,20.9259259259259,21.2037037037037,21.4814814814815,87.8366788888889,89.7050585185185,91.5734411111111
202309,317.0,317,0.9999989,43.698883,21.6296296296296,21.9074074074074,22.1851851851852,87.3735768148148,88.4728194074074,89.5720634814815
202308,250.0,250,0.9989648,34.46284,20,23.1008402857143,27.4285714285714,62.6297158571429,81.2188192857143,94.9452828571429
202307,186.0,186,0.8281529,25.640354,22.8636363636364,23.4090909090909,23.9545454545455,77.111965,81.1110946363636,85.1468479090909
202306,197.0,197,0.9932493,27.15672,21.4285714285714,21.5,21.5714285714286,95.1251228571429,95.5211371428571,95.9171528571429
202305,165.0,165,0.94173783,22.610886,21.4285714285714,22.2941175714286,23.8571428571429,86.2083785714286,93.9513435714286,97.6443042857143
202304,153.0,153,0.95229954,20.966457,22.2857142857143,22.2857142857143,22.2857142857143,81.4473501428571,81.7921544285714,82.1369601428571
202303,129.0,129,0.9872293,17.6776,22.5714285714286,22.5714285714286,22.5714285714286,89.3970508571429,89.8274422857143,90.2578351428571
202302,138.0,138,1.0,18.910923,20.1428571428571,22.579832,24.8571428571429,72.2780985714286,86.3367915714286,97.5060342857143
202301,119.0,119,1.0,16.307245,18.4285714285714,21.7815125714286,24.7142857142857,68.3219757142857,83.69571,99.1579742857143
202252,33.0,33,0.0005981346,4.522177,20.6666666666667,22.4901963333333,24.6666666666667,78.0713266666667,87.3566616666667,98.0062533333333
202251,0.0,0,0.0,0.0,19,21.460785,25,61.6517975,77.890685,93.95214
202250,69.0,69,7.2718e-06,9.4554615,18.3333333333333,22.6811721666667,27.3333333333333,56.0423526666667,76.4401393333333,96.1608183333333
202249,115.0,115,0.024404265,15.759102,19.4285714285714,23.5929598571429,27.8571428571429,62.0995307142857,80.9295102857143,100
202248,127.0,127,0.09036429,17.40353,18.7142857142857,22.4005604285714,27.1428571428571,58.1074528571429,82.1704157142857,99.1263634285714
202247,163.0,163,0.8953226,22.336815,17.8571428571429,21.1764707142857,24.8571428571429,61.6350287142857,78.8938008571428,96.5396077142857
202246,155.0,155,0.87216747,21.24053,19,21.7620647142857,25.7142857142857,50.768236,69.0901907142857,84.0661785714286
202245,138.0,138,0.5933871,18.910923,15.7142857142857,19.662447,24,58.4976527142857,77.3753128571429,96.4519405714286
202244,130.0,130,0.3921643,17.814638,15.1428571428571,18.7204482142857,22,61.1050244285714,76.8981114285714,94.6880971428571
202243,144.0,144,0.49188924,19.733137,17.4285714285714,22.645705,27.4285714285714,47.0239748571429,66.398011,86.706636
202242,121.0,121,0.008543361,16.581316,17.8571428571429,21.7927671428571,26.1428571428571,49.1990384285714,69.5537531428571,88.2440662857143
202241,143.0,143,0.024856146,19.596102,17.7142857142857,21.8739492857143,26.5714285714286,50.5860161428571,70.8111935714286,88.9823114285714
202240,165.0,165,0.06275834,22.610886,16.8571428571429,20.5696078571429,24.8571428571429,50.2891128571429,69.155917,89.7286557142857
202239,174.0,174,0.07079142,23.844208,13.8571428571429,16.352591,19.1428571428571,68.7727077142857,80.8518665714286,91.1941357142857
202238,202.0,202,0.5999394,27.681206,12.1428571428571,17.1792717142857,21.7142857142857,46.4120998571429,68.0430447142857,88.6591228571428
202237,207.0,207,0.9282228,28.366385,14.1428571428571,15.6123248571429,17.2857142857143,67.5066705714286,79.3780294285714,88.7342914285714
202236,213.0,213,0.99484485,29.188599,14.1428571428571,20.4957985714286,25.7142857142857,33.6267018571429,53.2067912857143,78.0909995714286
202235,174.0,174,0.8279931,23.844208,10.5714285714286,15.4425768571429,19.5714285714286,50.1177674285714,67.2858354285714,82.6615192857143
202234,150.0,150,0.60339636,20.555351,13.5714285714286,18.0350137142857,21.7142857142857,42.8524908571429,61.5847437142857,82.5483878571429
202233,171.0,171,0.981906,23.4331,13.1428571428571,17.880798,22.7142857142857,40.252505,56.7765774285714,76.1623938571429
202232,148.0,148,0.7241036,20.281279,13.4285714285714,17.0668445714286,21,46.6967312857143,69.8267471428571,89.4993451428571
202231,120.0,120,0.023077175,16.44428,12.4285714285714,16.787115,20.8571428571429,50.0257862857143,70.0783012857143,88.6143628571429
