SE,casos_est,casos,p_rt1,p_inc100k,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax,tempmed_lag2,tempmed_lag4,umidmed_lag2,umidmed_lag4,casos_lag1,casos_lag2
202137,111.0,111,0.77799267,15.210959,17.2857142857143,22.6040102857143,29.1428571428571,37.7602822857143,65.226788,88.9383257142857,19.8292545714286,20.7431078571429,65.7031637142857,59.269863,133.0,81.0
202138,132.0,132,0.895327,18.088709,14.8571428571429,20.4063731428571,27.8571428571429,35.0741808571429,63.9541145714286,85.7495751428571,21.8655461428571,21.7715121428571,71.3059115714286,50.9068141428571,111.0,133.0
202139,108.0,108,0.23101306,14.799852,15.4285714285714,22.007519,29.0,34.949497,62.2298747142857,89.8784534285714,22.6040102857143,19.8292545714286,65.226788,65.7031637142857,132.0,111.0
202140,98.0,98,0.08124684,13.429496,16.8571428571429,19.9602547142857,25.2857142857143,55.6521095714286,76.6289205714286,89.866322,20.4063731428571,21.8655461428571,63.9541145714286,71.3059115714286,108.0,132.0
202141,95.0,95,0.1397646,13.018389,16.8571428571429,21.2048317142857,26.0,50.013253,72.91537,91.37344,22.007519,22.6040102857143,62.2298747142857,65.226788,98.0,108.0
202142,83.0,83,0.09955282,11.3739605,15.0,17.7557774285714,20.2857142857143,62.5505792857143,76.5093351428571,88.0904128571429,19.9602547142857,20.4063731428571,76.6289205714286,63.9541145714286,95.0,98.0
202143,72.0,72,0.058351178,9.866569,17.0,20.107237,23.2857142857143,64.6459834285714,79.0142037142857,91.4491171428571,21.2048317142857,22.007519,72.91537,62.2298747142857,83.0,95.0
202144,88.0,88,0.6183321,12.059139,17.2857142857143,20.5493695714286,24.4285714285714,54.992404,73.914956,89.767282,17.7557774285714,19.9602547142857,76.5093351428571,76.6289205714286,72.0,83.0
202145,86.0,86,0.67054045,11.785068,15.8571428571429,18.9354692857143,22.5714285714286,60.4528267142857,73.1649705714286,87.25045,20.107237,21.2048317142857,79.0142037142857,72.91537,88.0,72.0
202146,115.0,115,0.9850361,15.759102,17.1428571428571,21.9892857142857,26.4285714285714,45.0319368571429,63.9449128571429,84.3012428571429,20.5493695714286,17.7557774285714,73.914956,76.5093351428571,86.0,88.0
202147,95.0,95,0.56315047,13.018389,17.5714285714286,21.9616595714286,26.7142857142857,46.559302,67.4319512857143,85.9584442857143,18.9354692857143,20.107237,73.1649705714286,79.0142037142857,115.0,86.0
202148,110.0,110,0.73968595,15.073924,18.4285714285714,23.3042717142857,27.8571428571429,47.3371355714286,67.1999025714286,88.31125,21.9892857142857,20.5493695714286,63.9449128571429,73.914956,95.0,115.0
202149,118.0,118,0.83111835,16.17021,15.8571428571429,20.1839984285714,23.7142857142857,53.8703988571429,70.1239688571429,89.7205537142857,21.9616595714286,18.9354692857143,67.4319512857143,73.1649705714286,110.0,95.0
202150,162.0,162,0.9990828,22.19978,20.8571428571429,24.1347855714286,27.5714285714286,58.0938217142857,75.0594865714286,92.6063128571429,23.3042717142857,21.9892857142857,67.1999025714286,63.9449128571429,118.0,110.0
202151,139.0,139,0.78729624,19.047958,17.7142857142857,21.9028168571429,26.2857142857143,50.0832504285714,66.8097844285714,86.66528,20.1839984285714,21.9616595714286,70.1239688571429,67.4319512857143,162.0,118.0
202152,89.0,89,0.0005359351,12.196175,18.2857142857143,21.652871,25.7142857142857,57.2996634285714,76.3421385714286,90.6232785714286,24.1347855714286,23.3042717142857,75.0594865714286,67.1999025714286,139.0,162.0
202201,140.0,140,0.7160931,19.184994,20.0,22.8341101428571,26.2857142857143,62.2388808571429,78.9201161428571,92.4119142857143,21.9028168571429,20.1839984285714,66.8097844285714,70.1239688571429,89.0,139.0
202202,136.0,136,0.8473325,18.636852,18.5714285714286,22.1616437142857,26.7142857142857,60.7890114285714,79.3459078571429,94.0012714285714,21.652871,24.1347855714286,76.3421385714286,75.0594865714286,140.0,89.0
202203,123.0,123,0.44500586,16.855387,19.5714285714286,24.5886087142857,29.5714285714286,46.1628131428571,67.9134762857143,89.1315742857143,22.8341101428571,21.9028168571429,78.9201161428571,66.8097844285714,136.0,140.0
202204,75.0,75,0.0001030953,10.277676,20.1428571428571,24.2813217142857,29.1428571428571,52.8649745714286,73.5535338571429,90.0010191428571,22.1616437142857,21.652871,79.3459078571429,76.3421385714286,123.0,136.0
202205,119.0,119,0.6154393,16.307245,20.1428571428571,23.0607627142857,26.2857142857143,62.9813957142857,79.8245462857143,93.2149614285714,24.5886087142857,22.8341101428571,67.9134762857143,78.9201161428571,75.0,123.0
202206,101.0,101,0.47459024,13.840603,18.8571428571429,22.4452845714286,25.5714285714286,57.088995,70.8120047142857,87.7327771428571,24.2813217142857,22.1616437142857,73.5535338571429,79.3459078571429,119.0,75.0
202207,149.0,149,0.9969933,20.418316,18.8571428571429,23.3294117142857,28.4285714285714,44.3728248571429,69.8929734285714,90.749604,23.0607627142857,24.5886087142857,79.8245462857143,67.9134762857143,101.0,119.0
202208,136.0,136,0.8831171,18.636852,19.1428571428571,25.1344045714286,30.8571428571429,35.7184322857143,65.8534708571429,91.4920305714286,22.4452845714286,24.2813217142857,70.8120047142857,73.5535338571429,149.0,101.0
202209,134.0,134,0.57811385,18.36278,20.2857142857143,25.9703548571429,31.8571428571429,33.8141278571429,61.9796485714286,88.4838842857143,23.3294117142857,23.0607627142857,69.8929734285714,79.8245462857143,136.0,149.0
202210,220.0,220,0.9999868,30.147848,20.0,25.404622,31.2857142857143,38.0574811428571,65.1137578571429,89.9293385714286,25.1344045714286,22.4452845714286,65.8534708571429,70.8120047142857,134.0,136.0
202211,213.0,213,0.9972303,29.188599,20.5714285714286,23.7141382857143,28.0,57.4181288571429,77.8390518571429,93.2023185714286,25.9703548571429,23.3294117142857,61.9796485714286,69.8929734285714,220.0,134.0
202212,296.0,296,0.9999972,40.562557,17.7142857142857,22.4502468571429,27.4285714285714,49.3958967142857,69.9026435714286,89.7995271428571,25.404622,25.1344045714286,65.1137578571429,65.8534708571429,213.0,220.0
202213,358.0,358,0.9999997,49.05877,19.2857142857143,22.4149864285714,25.7142857142857,60.129454,77.2459522857143,92.3186205714286,23.7141382857143,25.9703548571429,77.8390518571429,61.9796485714286,296.0,213.0
